Table:	CodeValueList
PK	ListName	ListCode	ListCodeNum	SortSeq	CodeValue	MinValue	MaxValue	CodeDesc
22457	AWSAJumpMax	B3		3	51kph, 31.7mph	31.700	51.000	
22458	AWSAJumpMax	G2		5	45kph, 28.0mph	28.000	45.000	
22459	AWSAJumpMax	G3		6	51kph, 31.7mph	31.700	51.000	
22460	AWSAJumpMax	M1		7	57kph, 35.4mph	35.400	57.000	
22461	AWSAJumpMax	M2		8	57kph, 35.4mph	35.400	57.000	
22462	AWSAJumpMax	M3		9	57kph, 35.4mph	35.400	57.000	
22463	AWSAJumpMax	M4		10	54kph, 33.6mph	33.600	54.000	
22464	AWSAJumpMax	M5		11	51kph, 31.7mph	31.700	51.000	
22465	AWSAJumpMax	M6		12	51kph, 31.7mph	31.700	51.000	
22466	AWSAJumpMax	M7		13	48kph, 29.8mph	29.800	48.000	
22467	AWSAJumpMax	M8		14	48kph, 29.8mph	29.800	48.000	
22468	AWSAJumpMax	M9		15	48kph, 29.8mph	29.800	48.000	
22469	AWSAJumpMax	MA		16	48kph, 29.8mph	29.800	48.000	
22470	AWSAJumpMax	MB		17	48kph, 29.8mph	29.800	48.000	
22471	AWSAJumpMax	W1		20	54kph, 33.6mph	33.600	54.000	
22472	AWSAJumpMax	W2		21	54kph, 33.6mph	33.600	54.000	
22473	AWSAJumpMax	W3		22	51kph, 31.7mph	31.700	51.000	
22474	AWSAJumpMax	W4		23	51kph, 31.7mph	31.700	51.000	
22475	AWSAJumpMax	W5		24	48kph, 29.8mph	29.800	48.000	
22476	AWSAJumpMax	W6		25	48kph, 29.8mph	29.800	48.000	
22477	AWSAJumpMax	W7		26	45kph, 28.0mph	28.000	45.000	
22478	AWSAJumpMax	W8		27	45kph, 28.0mph	28.000	45.000	
22479	AWSAJumpMax	W9		28	45kph, 28.0mph	28.000	45.000	
22480	AWSAJumpMax	WA		29	45kph, 28.0mph	28.000	45.000	
22481	AWSAJumpMax	WB		30	45kph, 28.0mph	28.000	45.000	
22482	AWSAJumpMax	OM		40	57kph, 35.4mph	35.400	57.000	
22483	AWSAJumpMax	OW		41	54kph, 33.6mph	33.600	54.000	
22484	AWSAJumpMax	MM		42	57kph, 35.4mph	35.400	57.000	
22485	AWSAJumpMax	MW		43	51kph, 31.7mph	31.700	51.000	
22486	AWSAJumpMax	NM		44	54kph, 33.6mph	33.600	54.000	
22487	AWSAJumpMax	NW		45	51kph, 31.7mph	31.700	51.000	
22512	AWSARampMax	B2		2	5 Foot	0.235	5.000	
22513	AWSARampMax	B3		3	5.5 Foot	0.255	5.500	
22514	AWSARampMax	G2		5	5 Foot	0.235	5.000	
22515	AWSARampMax	G3		6	5 Foot	0.235	5.000	
22516	AWSARampMax	M1		7	5.5 Foot	0.255	5.500	
22517	AWSARampMax	M2		8	5.5 Foot	0.255	5.500	
22518	AWSARampMax	M3		9	5 Foot	0.235	5.000	
22519	AWSARampMax	M4		10	5 Foot	0.235	5.000	
22520	AWSARampMax	M5		11	5 Foot	0.235	5.000	
22521	AWSARampMax	M6		12	5 Foot	0.235	5.000	
22522	AWSARampMax	M7		13	5 Foot	0.235	5.000	
22523	AWSARampMax	M8		14	5 Foot	0.235	5.000	
22524	AWSARampMax	M9		15	5 Foot	0.235	5.000	
22525	AWSARampMax	MA		16	5 Foot	0.235	5.000	
22526	AWSARampMax	MB		17	5 Foot	0.235	5.000	
22527	AWSARampMax	W1		20	5 Foot	0.235	5.000	
22528	AWSARampMax	W2		21	5 Foot	0.235	5.000	
22529	AWSARampMax	W3		22	5 Foot	0.235	5.000	
22530	AWSARampMax	W4		23	5 Foot	0.235	5.000	
22531	AWSARampMax	W5		24	5 Foot	0.235	5.000	
22532	AWSARampMax	W6		25	5 Foot	0.235	5.000	
22533	AWSARampMax	W7		26	5 Foot	0.235	5.000	
22534	AWSARampMax	W8		27	5 Foot	0.235	5.000	
22535	AWSARampMax	W9		28	5 Foot	0.235	5.000	
22536	AWSARampMax	WA		29	5 Foot	0.235	5.000	
22537	AWSARampMax	WB		30	5 Foot	0.235	5.000	
22538	AWSARampMax	OM		40	6 Foot	0.271	6.000	
22539	AWSARampMax	OW		41	5.5 Foot	0.255	5.500	
22540	AWSARampMax	MM		42	5.5 Foot	0.255	5.500	
22541	AWSARampMax	MW		43	5 Foot	0.235	5.000	
22542	AWSARampMax	NM		44	5 Foot	0.235	5.000	
22543	AWSARampMax	NW		45	5 Foot	0.235	5.000	
00000	AWSARecords	B1-S		11	Boys 1 - Slalom		105	1 bouys at 11.25m @49 kph (35 off @ 30.4 mph) 6/7/2014 Cooper Tate
23470	AWSARecords	B1-T		12	Boys 1 - Trick		4090.000	 8/15/2001 Adam Pickos  
00000	AWSARecords	B2-S		21	Boys 2 - Slalom		104.5	2.5 bouys at 10.75m @ 55 kph (39 off @ 34.2 mph) 8/11/2015 Stange Griffin
23472	AWSARecords	B2-T		22	Boys 2 - Trick		7870.000	 6/20/2004 Adam Pickos  
23473	AWSARecords	B2-J		23	Boys 2 - Jump		143.000	(43.5m) 7/20/2011 Taylor Garcia 
23474	AWSARecords	B3-S		31	Boys 3 - Slalom		117.000	3 bouys at 10.25m @ 58 kph (41 off @ 36 mph) 6/30/2012 KC Wilson
23475	AWSARecords	B3-T		32	Boys 3 - Trick		10430.000	 7/18/2009 Adam Pickos  
00000	AWSARecords	B3-J		33	Boys 3 - Jump		193	(58.8m) 5/17/2015 Taylor Garcia
23477	AWSARecords	G1-S		41	Girls 1 - Slalom		80.000	2 bouys at 12m @ 49 kph (35 off @ 30.4 mph)
23478	AWSARecords	G1-T		42	Girls 1 - Trick		5340.000	7/24/2011 Neilly Ross
00000	AWSARecords	G2-S		51	Girls 2 - Slalom		98	2 bouys at 10.75m @ 52 kph (39.5 off @ 32.3 mph) 7/12/2014 Brooke Baldwin
00000	AWSARecords	G2-T		52	Girls 2 - Trick		7170.000	6/28/2014 Brooke Baldwin
23481	AWSARecords	G2-J		53	Girls 2 - Jump		120.000	 6/22/2008 Brittany Greenwood  
00000	AWSARecords	G3-S		61	Girls 3 - Slalom		106	4 bouys at 10.75m @ 55 kph (39.5 off @ 34.2 mph) 6/27/2015 Samantha Dumala
00000	AWSARecords	G3-T		62	Girls 3 - Trick		10010	11/21/2015 Anna Gay
23484	AWSARecords	G3-J		63	Girls 3 - Jump		154.000	(46.9m) 4/25/2010 Lauren Morgan
23485	AWSARecords	M1-S		71	Mens 1 - Slalom		122.000	2 buoy at 9.75m @ 58 kph (43 off @ 36 mph) 6/2/2013 Nate Smith 
00000	AWSARecords	M1-T		72	Mens 1 - Trick		11510	5/10/2015 Adam Pickos
23487	AWSARecords	M1-J		73	Mens 1 - Jump		218	(66.5m) 10/5/2013 Zack Worden
23488	AWSARecords	M2-S		81	Mens 2 - Slalom		122.000	2 buoys at 9.75m @ 58 kph (43 off @ 36 mph) 6/13/2010 Chris Parrish  
23489	AWSARecords	M2-T		82	Mens 2 - Trick		12090.000	4/30/2011 Jimmy Seimers
23490	AWSARecords	M2-J		83	Mens 2 - Jump		216.000	 9/24/2002 Mark Lane  
23491	AWSARecords	M3-S		91	Mens 3 - Slalom		115.000	1 bouys at 9.75m @ 55 kph (43 off @ 34.2 mph) 9/15/2012 Jeff Rodgers
23492	AWSARecords	M3-T		92	Mens 3 - Trick		12070.000	 7/17/2005 Russell Gay  
00000	AWSARecords	M3-J		93	Mens 3 - Jump		199	(60.7) 7/8/2015 Scot Ellis
00000	AWSARecords	M4-S		101	Mens 4 - Slalom		115.5	1.5 bouys at 9.75m @ 55 kph (43 off @ 34.2 mph) 10/18/2014 Jeff Rodgers
00000	AWSARecords	M4-T		102	Mens 4 - Trick		11470.000	10/24/2014 Russell Gay
