Table:	NopsData										
SkiYear	Event	AgeGroup	SortSeq	Base	Adj	RatingMedian	RatingRec	RatingOpen	OverallBase	OverallExp	EventsReqd
14	Jump	B3	3	1500	28.65	91	191	0	0	1.148	3	
14	Slalom	M1	1	1500	0	73	121	0	8	2.16	3	
14	Trick	M1	2	15000	0	800	11070	0	0	0.418	3	
14	Jump	M1	3	1500	31.35	87	209	0	0	0.946	3	
14	Slalom	M2	1	1500	0	85	122	0	8	3.038	3	
14	Trick	M2	2	15000	0	1200	12090	0	0	0.476	3	
14	Jump	M2	3	1500	32.4	97	216	0	0	1.052	3	
14	Slalom	M3	1	1500	0	88	111.25	0	8	4.675	3	
14	Trick	M3	2	15000	0	1550	12070	0	0	0.535	3	
14	Jump	M3	3	1500	29.7	113	198	0	0	1.562	3	
14	Slalom	M4	1	1500	0	89.5	113	0	8	4.706	3	
14	Trick	M4	2	15000	0	1250	10420	0	0	0.518	3	
14	Jump	M4	3	1500	26.85	99	179	0	0	1.472	3	
14	Slalom	M5	1	1500	0	87.5	111	0	8	4.606	3	
14	Trick	M5	2	15000	0	1450	5490	0	0	0.825	3	
14	Jump	M5	3	1500	23.4	76	156	0	0	1.188	3	
14	Slalom	M6	1	1500	0	81.5	105.5	0	8	4.228	3	
14	Trick	M6	2	15000	0	1150	3940	0	0	0.892	3	
14	Jump	M6	3	1500	19.35	61	129	0	0	1.135	3	
14	Slalom	M7	1	1500	0	79.5	99.5	0	8	4.849	3	
14	Trick	M7	2	15000	0	1500	3750	0	0	1.199	3	
14	Jump	M7	3	1500	16.8	55	112	0	0	1.203	3	
14	Slalom	M8	1	1500	0	72.5	88.25	0	8	5.49	2	
14	Trick	M8	2	15000	0	1000	2450	0	0	1.226	2	
14	Jump	M8	3	1500	14.1	42	94	0	0	1.044	2	
14	Slalom	M9	1	1500	0	62.5	81.5	0	8	4.026	2	
14	Trick	M9	2	15000	0	700	1740	0	0	1.207	2	
14	Jump	M9	3	1500	13.2	36	88	0	0	0.925	2	
14	Slalom	MA	1	1500	0	30	73.5	0	8	1.129	2	
14	Trick	MA	2	15000	0	500	1600	0	0	0.945	2	
14	Jump	MA	3	1500	7.05	32	47	0	0	2.334	2	
14	Slalom	MB	1	1500	0	30	38	0	8	4.057	2	
14	Trick	MB	2	15000	0	250	1050	0	0	0.766	2	
14	Jump	MB	3	1500	5.1	28	34	0	0	4.721	2	
14	Slalom	G1	1	1500	0	14.5	80	0	40	0.729	2	
14	Trick	G1	2	15000	0	250	5340	0	0	0.359	2	
14	Jump	G1	3	1500	149.85	999	999	0	0	0	2	
14	Slalom	G2	1	1500	0	52	95	0	8	1.768	3	
14	Trick	G2	2	15000	0	650	6790	0	0	0.468	3	
14	Jump	G2	3	1500	18	43	120	0	0	0.781	3	
14	Slalom	G3	1	1500	0	74	100	0	8	3.604	3	
14	Trick	G3	2	15000	0	1650	9230	0	0	0.638	3	
14	Jump	G3	3	1500	23.1	63	154	0	0	0.925	3	
14	Slalom	W1	1	1500	0	57	109	0	8	1.66	3	
14	Trick	W1	2	15000	0	700	8930	0	0	0.431	3	
14	Jump	W1	3	1500	23.25	46	155	0	0	0.626	3	
14	Slalom	W2	1	1500	0	68	111	0	8	2.215	3	
14	Trick	W2	2	15000	0	1300	8990	0	0	0.568	3	
14	Jump	W2	3	1500	23.7	74	158	0	0	1.119	3	
14	Slalom	W3	1	1500	0	69.5	105	0	8	2.628	3	
14	Trick	W3	2	15000	0	1550	6450	0	0	0.771	3	
14	Jump	W3	3	1500	23.25	60	155	0	0	0.86	3	
14	Slalom	W4	1	1500	0	70	100.5	0	8	2.995	3	
14	Trick	W4	2	15000	0	1250	5600	0	0	0.733	3	
14	Jump	W4	3	1500	18.3	55	122	0	0	1.058	3	
14	Slalom	W5	1	1500	0	70.5	92	0	8	4.057	3	
14	Trick	W5	2	15000	0	1050	5060	0	0	0.699	3	
